ID,NAME,POSTAL,ADDRESS,TYPE,Latitude,Longitude
66,Church of St. Mary Magdalene,,469 Manning Avenue,Anglican,43.659028,-79.413772
67,Bethel Seventh-Day Adventist Church,,511 Homer Avenue,Unknown,43.601221,-79.546234
68,Newtonbrook United Church,,53 Cummer Avenue,United Church,43.787074,-79.415032
69,St. Dunstan's Roman Catholic Church,,3150 Danforth Avenue,Roman Catholic,43.692253,-79.285238
70,Beth David B'nai Israel Beth Am,,55 Yeomans Road,Judaism - Conservative,43.748897,-79.440479
71,Beth Emeth Bais Yehuda,,100 Elder Street,Judaism - Conservative,43.760555,-79.454303
72,Beth Jacob Synagogue,,147 Overbrook Place,Judaism - Orthodox,43.762441,-79.457838
73,Beth Joseph Anshei New York Congregation,,44 Edinburgh Drive,Judaism - Orthodox,43.742046,-79.434742
74,North Runnymede United Church,,33 Pritchard Avenue,United Church,43.670223,-79.489083
75,Beth Lida Forest Hill Synagogue,,22 Gilgorm Road,Judaism - Orthodox,43.703957,-79.417684
76,North York Chinese Baptist Church,,675 Sheppard Avenue East,Baptist,43.768436,-79.378827
77,Northlea United Church,,125 Brentcliffe Road,United Church,43.71734,-79.363007
78,Olivet Baptist Church,,36 Margueretta Street,Baptist,43.651566,-79.437566
79,Beth Shalom,,1445 Eglinton Avenue West,Judaism - Conservative,43.698115,-79.437731
80,Beth Tikvah Synagogue,,3080 Bayview Avenue,Judaism - Conservative,43.778715,-79.392045
81,Onnuri Korean United Church,,63 Dunblaine Avenue,United Church,43.735267,-79.422171
82,Beth Torah Congregation,,47 Glenbrook Avenue,Judaism - Conservative,43.709408,-79.452018
83,Beth Tzedec,,1700 Bathurst Street,Judaism - Conservative,43.695627,-79.424146
84,St. Dustan of Canterbury Anglican Church,,56 Lawson Road,Anglican,43.784167,-79.164887
85,Oriole-York Mills United Church,,2609 Bayview Avenue,United Church,43.751672,-79.384282
86,Bethany Chapel,,22 McAdam Avenue,Non-denominational,43.722777,-79.4576
87,Bridal Fashion Fraire,,161 Spadina Avenue,Non-religious,43.648337,-79.395686
88,Bridlewood Presbyterian Church,,2501 Warden Avenue,Presbyterian,43.790317,-79.312506
89,British Methodist Episcopal Christ Church St. James,,1828 Eglinton Avenue West,British Methodist Episcopal Church,43.696085,-79.450465
90,Our Lady Help of Christians Roman Catholic Church,,611 Manning Avenue,Roman Catholic,43.662422,-79.414983
91,Our Lady of Fatima Roman Catholic Church,,3170 St. Clair Avenue East,Roman Catholic,43.709684,-79.293383
92,Broadview Gospel Hall,,194 Broadview Avenue,Non-denominational,43.661247,-79.351154
93,Dentonia Park United Church,,107 Dawes Street,United Church,43.692067,-79.296762
94,Our Lady of Lebanon,,1515 Queen Street West,Roman Catholic,43.639515,-79.44135
95,Our Lady of Lourdes Roman Catholic Church,,520 Sherbourne Street,Roman Catholic,43.66841,-79.375737
96,Our Lady of Mount Carmel,,196 St. Patrick Street,Roman Catholic,43.655109,-79.390968
97,Our Lady of Peace Roman Catholic Church,,3914 Bloor Street West,Roman Catholic,43.639675,-79.544897
98,Our Lady of Perpetual Help Church,,208 St. Clair Avenue East,Roman Catholic,43.690258,-79.385088
99,Our Lady of Sorrows Roman Catholic Church,,3055 Bloor Street West,Roman Catholic,43.646695,-79.512896
100,Dewi Sant Welsh United Church,,33 Melrose Avenue,United Church,43.732331,-79.405195
101,Our Lady of the Assumption Roman Catholic Church,,2565 Bathurst Street,Roman Catholic,43.706691,-79.426464
102,Our Lady of the Miraculous Medal Roman Catholic Church,,739 Brown's Line,Roman Catholic,43.607897,-79.547745
103,Our Lady of Victory Roman Catholic Church,,117 Guestville Avenue,Roman Catholic,43.68562,-79.489805
104,Brooke Avenue Baptist Church,,156 Falkirk Avenue,Baptist,43.730561,-79.428477
105,Park Lawn Baptist Church,,276 Park Lawn Road,Baptist,43.63389,-79.492739
106,Park Lofts (formerly Czechoslovak Baptist Church and Annette Street Baptist Church),,200 Annette Street,Non-religious,43.663166,-79.468629
107,Epiphany Anglican Church,,700 Kennedy Road,Anglican,43.728051,-79.26683
108,Parkdale United Church,,171 Dunn Avenue,United Church,43.63744,-79.432901
109,Parkway Bible Church,,77 Ivordale Cresent,Associated Gospel,43.755907,-79.313697
110,Parkwoods United Church,,85 Parkwoods Village Drive,United Church,43.761383,-79.323627
111,Patterson Presbyterian Church,,109 Harvie Avenue,Presbyterian,43.680206,-79.451183
112,Christ Church Anglican,,329 Royal York Road,Anglican,43.616995,-79.497917
113,Holy Cross Roman Catholic Church,,291 Cosburn Avenue,Roman Catholic,43.691138,-79.341674
114,Don Mills United Church,,126 O'Connor Drive,United Church,43.693371,-79.351107
115,Pentecostal Missionary Church of Christ,,2 Delbert Drive,Pentecostal,43.763799,-79.286316
116,Bonar-Parkdale Presbyterian Church,,250 Dunn Avenue,Presbyterian,43.640117,-79.434503
117,Peoples Church Toronto,,374 Sheppard Avenue East,Non-denominational,43.76593,-79.393845
118,Petah Tikvah Anshe Castilla Congregation,,20 Danby Avenue,Judaism – Sephardic,43.74933,-79.438655
119,Don Valley Bible Chapel,,25 Axsmith Crescent,Non-denominational,43.788626,-79.352232
120,Donway Baptist Church,,235 The Donway East,Baptist,43.740571,-79.342748
121,Calvin Presbyterian Church,,26 Delisle Avenue,Presbyterian,43.689121,-79.396135
122,Dorset Park Baptist Church,,1428 Kennedy Road,Baptist,43.764331,-79.281187
123,Blythwood Road Baptist Church,,80 Blythwood Road,Baptist,43.717549,-79.398093
124,Dovercourt Baptist Church,,1140 Bloor Street West,Baptist,43.659874,-79.436149
125,Polski Kosciol Pelnej Ewangelii (former St. Agnes Anglican Church),,69 Long Branch Avenue,Full Gospel,43.593657,-79.533429
126,Downsview United Church,,2822 Keele Street,United Church,43.729896,-79.482795
127,Castlefield Community Church,,27 Castlefield Avenue,Apostolic Christian,43.711227,-79.400538
128,Prayer Outreach Ministries,,587 Oakwood Avenue,Unknown,43.696265,-79.44193
129,Precious Blood Roman Catholic Church,,1737 Lawrence Avenue East,Roman Catholic,43.742188,-79.307344
130,Queen Street East Presbyterian Church,,947 Queen Street East,Presbyterian,43.660769,-79.339573
131,Dufferin Street Baptist Church,,1219 Dufferin Street,Baptist,43.66609,-79.437696
132,Grace Christian Reformed Church,,25 Channel Nine Court,Christian Reformed Church,43.784172,-79.256832
133,Grace Church-on-the-Hill,,300 Lonsdale Road,Anglican,43.689484,-79.409887
134,Cecil Street Community Centre (formerly Disciples of Christ Church),,58 Cecil Street,Non-religious,43.656382,-79.398599
135,Redeemer Lutheran Church,,1691 Bloor Street West,Lutheran,43.65491,-79.457372
136,Faith Presbyterian Community Church,,140 Dawes Road,Presbyterian,43.693788,-79.297566
137,Holy Eucharist Ukrainian Catholic Church,,515 Broadview Avenue,Ukrainian Catholic,43.670879,-79.353684
138,Celebration Presbyterian Church,,500 Coldstream Avenue,Presbyterian,43.715318,-79.42909
139,Rehoboth Fellowship Christian Reformed Church,,800 Burnhamthorpe Road,Christian Reformed Church,43.640723,-79.581613
140,Celestial Church of Christ,,1322 Jane Street,Church of Christ,43.692112,-79.501143
141,Renforth Baptist Church,,627 Burnhamthorpe Road,Baptist,43.643705,-79.573206
142,St. Eugene's Chapel,,13 Regina Aveune,Roman Catholic,43.725344,-79.442215
143,Revivaltime Tabernacle,,4340 Dufferin Street,Pentecostal,43.762585,-79.466918
144,Rexdale Gospel Hall,,72 Bergamot Avenue,Non-denominational,43.716877,-79.557394
145,Centennial United Church,,6550 Kingston Road,United Church,43.794389,-79.153993
146,Fallingbrook Presbyterian Church,,31 Wood Glen Road,Presbyterian,43.684152,-79.275416
147,Central Christadelphian Church,,728 Church Street,Christadelphian,43.672115,-79.384084
148,Farmer Memorial Baptist Church,,293 South Kingsway,Baptist,43.647883,-79.484276
149,Fellowship Presbyterian Church,,80 Thistle Down Blvd.,Presbyterian,43.737911,-79.556163
150,Richview Baptist Church,,1548 Kipling Avenue,Baptist,43.680788,-79.5531
151,The Swanwick Historic Loft (formerly Emmanuel Presbyterian Church),,21 Swanwick Avenue,Non-religious,43.681781,-79.300859
152,Holy Trinity Anglican Church,,19 Trinity Square,Anglican,43.65456,-79.381518
153,"St. Paul's United Church, Scarborough",,200 MacIntosh Street,United Church,43.709643,-79.251033
154,Forest Grove United Church,,43 Forest Grove Drive,United Church,43.778258,-79.382629
155,Wood Green Church,,875 Queen Street East,Anglican,43.660249,-79.342895
156,St. Peter's Anglican Church,,188 Carlton Street,Anglican,43.663701,-79.371987
157,St. Peter's Anglican Church,,776 Brimley Road,Anglican,43.750914,-79.254275
158,St. Peter's Estonian Lutheran Church,,817 Mount Pleasant Road,Lutheran,43.708997,-79.390356
159,St. Peter's Roman Catholic Church,,840 Bathurst Street/659 Markham Street,Roman Catholic,43.666073,-79.411604
160,Holy Trinity Greek Orthodox Church (Panagia Grigoroussa),,54 Clinton Street,Greek Orthodox,43.655677,-79.414318
161,Holy Trinity Russian Orthodox Church,,23 Henry Street,Russian Orthodox,43.657288,-79.393626
162,St. Philip Neri Church and Friary,,2100 Jane Street,Roman Catholic,43.719364,-79.508664
163,St. George the Martyr Anglican Church Tower,,197 John Street,Anglican,43.65151,-79.391155
164,St. Philip's Anglican Church,,31 St. Philip's Road,Anglican,43.703092,-79.531962
165,St. Philip-the-Apostle Anglican Church,,201 Caribou Road,Anglican,43.71749,-79.429114
166,Hope United Church,,2550 Danforth Avenue,United Church,43.688294,-79.302145
167,St. Paul's Anglican Church,,227 Bloor Street East,Anglican,43.671148,-79.381596
168,St. Sava Serbian Orthodox Church,,203 River Street,Serbian Orthodox,43.664012,-79.359096
169,St. Saviour Anglican Church,,43 Kimberly Avenue,Anglican,43.682627,-79.297777
170,Humber Valley United Church,,76 Anglesey Blvd.,United Church,43.66515,-79.52894
171,St. Sebastian's Roman Catholic Church,,10 Pauline Avenue,Roman Catholic,43.659805,-79.437754
172,St. Simon the Apostle Anglican Church,,40 Howard Street,Anglican,43.671477,-79.373796
173,Iondale Heights United Church,,115 Ionview Road,United Church,43.739613,-79.274053
174,St. Stanislaus Kostka Roman Catholic Church (formerly West Presbyterian Church),,12 Denison Avenue,Roman Catholic,43.6484,-79.400948
175,Islington Baptist Church,,50 Royalavon Crescent,Baptist,43.646068,-79.533742
176,St. Stephen's Presbyterian Church,,3817 Lawrence Avenue East,Presbyterian,43.76232,-79.212547
177,Islington United Church,,25 Burnhamthorpe Road,United Church,43.649575,-79.529827
178,St. Paul's Anglican Church,,404 Willard Avenue,Anglican,43.655459,-79.483962
179,Jami Mosque,,56 Boustead Avenue,Islam - Sunni,43.653318,-79.454473
180,St. Stephen-in-the-Fields Anglican Church,,103 Bellevue Avenue,Anglican,43.656945,-79.403963
181,St. Teresa Roman Catholic Church,,123 Eleventh Street,Roman Catholic,43.598743,-79.509083
182,St. Theodore of Canterbury Anglican Church,,111 Catus Avenue,Anglican,43.791821,-79.433436
183,St. Theresa Roman Catholic Church (Shrine of the Little Flower),,2559 Kingston Road,Roman Catholic,43.711287,-79.24755
184,Jarvis Street Baptist Church,,130 Gerrard Street East,Baptist,43.660838,-79.375397
185,St. Thomas Anglican Church,,383-385 Huron Street,Anglican,43.665926,-79.400745
186,St. Thomas Aquinas Chapel,,50 Hoskin Avenue and 89 St. George Street,Roman Catholic,43.66408,-79.398439
187,St. Thomas Aquinas Roman Catholic Church,,640 Glenholme Avenue,Roman Catholic,43.69633,-79.445428
188,Church of St. Augustine of Canterbury,,1847 Bayview Avenue,Anglican,43.714157,-79.377134
189,St. Timothy by-the-Humber,,2840 Weston Road,Anglican,43.721026,-79.537736
190,St. Luke's United Church,,353-355 Sherbourne Street,United Church,43.663036,-79.372629
191,St. Timothy's Agincourt,,4125 Sheppard Avenue East,Anglican,43.784266,-79.282419
192,St. Timothy's Catholic Church,,21 Leith Hill Road,Roman Catholic,43.776252,-79.350384
193,Keele Street Christian Church,,99 Annette Street,Non-denominational Christian,43.66337,-79.463334
194,St. Vincent de Paul,,263 Roncesvalles Avenue,Roman Catholic,43.647045,-79.448897
195,Long Branch Baptist Church,,3381 Lakeshore Blvd. West,Baptist,43.595664,-79.527258
196,St. Volodymyr's Ukrainian Orthodox Cathedral,,406 Bathurst Street,Ukrainian Catholic,43.654102,-79.407064
197,St. Wilfrid's Anglican Church,,1315 Kipling Avenue,Anglican,43.666256,-79.545256
198,Sts. Peter and Paul Ukrainian Catholic Church,,1490 Markham Road,Ukrainian Catholic,43.788465,-79.237665
199,Studio Theatre (former St. Paul Evangelical Lutheran Church),,4 Glen Morris Street,Non-religious,43.664391,-79.401193
200,St. Margaret of Scotland,,222 Ridley Blvd.,Roman Catholic,43.738563,-79.421596
201,St. John's Anglican Church Weston,,2125 Weston Road,Anglican,43.702984,-79.524074
202,St. John's Catholic Church,,786 Kingston Road,Roman Catholic,43.68018,-79.293689
203,St. John's Evangelical Lutheran Church,,274 Concord Avenue,Lutheran,43.661004,-79.427005
204,St. John's Latvian Lutheran Church,,200 Balmoral Avenue,Lutheran,43.684098,-79.402644
205,St. John's Polish National Church,,180-186 Cowan Avenue,Polish National Catholic,43.639753,-79.43276
206,Former Bedford Park United Church,,100 Ranleigh Avenue,United Church,43.728662,-79.399964
207,St. John's Presbyterian Church,,415 Broadview Avenue,Presbyterian,43.666522,-79.352655
208,Kingsway-Lambton United Church,,85 The Kingsway,United Church,43.652831,-79.507787
209,St. John's United Church,,2 Nobert Road,United Church,43.771891,-79.319753
210,Kipling Avenue Baptist Church,,2240 Kipling Avenue North,Baptist,43.725951,-79.574068
211,Calvary Baptist Church,,72 Main Street,Baptist,43.680982,-79.299239
212,St. Josaphat Ukrainian Catholic Cathedral,,143 Franklin Avenue,Unknown,43.663603,-79.453314
213,St. Joseph and Our Lady of Good Health Roman Catholic Church,,65 Curzon Street,Roman Catholic,43.665162,-79.331939
214,St. Joseph Morrow Chapel,,3377 Bayview Avenue,Roman Catholic,43.796769,-79.392156
215,College Street United Church,,452 College Street,United Church,43.656676,-79.408153
216,Christ the King,,3674 Lakeshore Blvd. West,Roman Catholic,43.593743,-79.537625
217,Knesseth Israel (Junction Shul),,56 Maria Street,Judaism - Orthodox,43.666509,-79.47542
218,St. Joseph's Church,,200 Morrish Road,Roman Catholic,43.783607,-79.171047
219,Former Glebe Presbyterian Church,,124 Belsize Drive,N/A,43.702592,-79.389376
220,The Church of the Apostles,,719 Sheppard Avenue West,Anglican,43.754129,-79.445092
221,Knob Hill United Church,,23 Gage Avenue,United Church,43.748698,-79.248333
222,Galilee Presbyterian Church,,1183 Davenport Road,Presbyterian,43.674135,-79.433581
223,Knox Agincourt Presbyterian Church,,4156 Sheppard Avenue East,Presbyterian,43.785275,-79.281363
224,St. Jude's Anglican Church,,10 Howarth Avenue,Anglican,43.738631,-79.307385
225,St. Jude's Church,,1745 Victoria Park Avenue,Anglican,43.73859,-79.30707
226,St. Lawrence the Martyr Roman Catholic Church,,2210 Lawrence Avenue East,Roman Catholic,43.748881,-79.280529
227,St. Leo's Church,,277 Royal York Road,Roman Catholic,43.614073,-79.497125
228,St. Leonard's Church,,25 Wanless Avenue,Anglican,43.726379,-79.401356
229,Presteign-Woodbine United Church,,2538 St. Clair Avenue East,United Church,43.704524,-79.319341
230,Glebe Road United Church,,20 Glebe Road East,United Church,43.701501,-79.395507
231,Glen Ayr United Church,,55 Brimorton Drive,United Church,43.765815,-79.254674
232,St. Luke's Anglican Church,,904 Coxwell Avenue,Anglican,43.694264,-79.328556
233,The Church of the Resurrection,,1100 Woodbine Avenue,Anglican,43.689037,-79.314735
234,Glen Rhodes United Church/All Nation Christian Fellowship,,1470 Gerrard Street East,United Church,43.672648,-79.3209
235,Glenview Presbyterian Church,,1 Glenview Avenue,Presbyterian,43.719843,-79.401657
236,St. Mark's Roman Catholic Church,,277 Park Lawn Road,Roman Catholic,43.633979,-79.491987
237,Wilmar Heights Baptist Church,,1687 Victoria Park Avenue,Baptist,43.735071,-79.306711
238,Willowdale United Church,,349 Kenneth Avenue,United Church,43.77579,-79.409717
239,St. Martin de Porres Roman Catholic Church,,4179 Lawrence Avenue East,Roman Catholic,43.76772,-79.187352
240,St. Martin in-the-Fields Anglican Church,,151 Glenlake Avenue,Anglican,43.658108,-79.460709
241,First Portuguese Evangelical Church,,132 Nassau Street,Non-denominational,43.654745,-79.405444
242,Prince of Peace Roman Catholic Church,,265 Alton Towers Circle,Roman Catholic,43.824749,-79.27863
243,St. Mary Dormition Church,,276 Bathurst Street,Ukrainian Catholic,43.650107,-79.405371
244,Good Shepherd,,1149 Weston Road,Anglican,43.686939,-79.48949
245,The Epiphany and St. Mark,,201 Cowan Avenue,Anglican,43.640752,-79.43228
246,St. Mary of the Angels Roman Catholic Church,,1481 Dufferin Street,Roman Catholic,43.672682,-79.4406
247,Graceview Presbyterian Church,,588 Renforth Drive,Presbyterian,43.65343,-79.58094
248,Christ the Good Shepherd,,182 Sixth Street,Ukrainian Catholic,43.603053,-79.505224
249,Congregation B'nai Torah,,465 Patricia Avenue,Judaism - Orthodox,43.784198,-79.444062
250,Consulate General of Lithuania,,1573 Bloor Street West,Non-religious,43.655839,-79.454126
251,St. Mary's Roman Catholic Church,,130 Bathurst Street,Roman Catholic,43.645184,-79.403432
252,Grant African Methodist Episcopal Church,,2029 Gerrard Street East,African Methodist Episcopal Church,43.68169,-79.308437
253,The Fisherville Church,,"Black Creek Pioneer Village, 1000 Murray Ross Parkway",Non-religious,43.773369,-79.516934
254,Greenborough Community Church/Assemblée Evangelique Pentecostale,,2000 Keele Street,Baptist,43.697365,-79.475882
255,St. Matthew the Apostle – Oriele Anglican Church,,80 George Henry Blvd.,Anglican,43.773664,-79.351176
256,St. Matthew's Anglican Church,,135 First Avenue,Anglican,43.665503,-79.347249
257,St. Matthew's Anglican Church,,3962 Bloor Street West,Anglican,43.639397,-79.548921
258,St. Matthew's Lutheran Church,,3159 Lawrence Avenue East,Lutheran,43.75466,-79.24234
259,St. Matthew's Roman Catholic Church,,706 Old Weston Road,Roman Catholic,43.681463,-79.467799
260,The Glebe Lofts (former Riverdale Presbyterian Church),,662 Pape Avenue,Non-religious,43.67782,-79.344561
261,St. Matthew's United Church,,729 St. Clair Avenue West,United Church,43.681206,-79.427334
262,St. Matthias Anglican Church,,45 Bellwoods Avenue,Anglican,43.647809,-79.411151
263,St. Matthias' Anglican Church,,1428 Royal York Road,Anglican,43.684868,-79.528221
264,Guildwood Community Presbyterian Church,,140 Guildwood Parkway,Presbyterian,43.748013,-79.198893
265,St. Michael and All Angels Church,,611 St. Clair Avenue West,Anglican,43.681973,-79.422937
266,GurSikh Sabha Canada,,905 Middlefield Road,Sikhism,43.828434,-79.265444
267,St. Michael the Archangel Anglican Church/St. John's Milliken Presbyterian Church,,410 Goldhawk Trail,Non-denominational Christian,43.825981,-79.278897
268,Willowdale Presbyterian Church,,38 Ellerslie Avenue,Presbyterian,43.771861,-79.415524
269,St. Michael's Roman Catholic Cathedral,,65 Bond Street,Roman Catholic,43.654987,-79.37709
270,St. Monica's Catholic Church,,44 Broadway Avenue,Roman Catholic,43.710686,-79.39659
271,St. Nektarios Greek Orthodox Church,,1223 Dovercourt Road,Greek Orthodox,43.674008,-79.434115
272,St. Nicholas Birch Cliff Anglican Church,,1512 Kingston Road,Anglican,43.689522,-79.269139
273,St. Nicholas Greek Orthodox Church,,3840 Finch Avenue East,Greek Orthodox,43.800519,-79.301233
274,St. Nicholas Ukrainian Catholic Church,,4 Bellwoods Avenue,Ukrainian Catholic,43.646057,-79.411096
275,St. Nicola di Bari Roman Catholic Church,,1277 St. Clair Avenue West,Roman Catholic,43.676726,-79.447154
276,St. Ninian Anglican Church,,930 Bellamy Road North,Anglican,43.76646,-79.239454
277,St. Norbert's Roman Catholic Church,,100 Regent Road,Roman Catholic,43.732175,-79.46551
278,St. Olave's Anglican Church,,360 Windermere Avenue,Anglican,43.649568,-79.480886
279,Willowdale Christian Assembly,,448 Kenneth Avenue,N/A,43.778495,-79.411477
280,St. Patrick's Anglican Church,,1087 Lillian Street,Anglican,43.798525,-79.410403
281,Northminster United Church,,255 Finch Avenue West,United Church,43.774523,-79.437587
282,The Greek Orthodox Cathedral of the Virgin Mary Annunciation and Dormition of the Theotokos,,136 Sorauren Avenue,Greek Orthodox,43.64358,-79.442743
283,High Park Baptist Church,,9 Hewitt Avenue,Baptist,43.652245,-79.451813
284,High Park Korean United Church,,260 High Park Avenue,United Church,43.662501,-79.469732
285,Highfield Road Gospel Hall,,33 Highfield Road,Christian Church (Disciples of Christ),43.667507,-79.323135
286,Hillcrest Christian Church,,2 Vaughan Road,Christian Church (Disciples of Christ),43.681101,-79.418125
287,St. Patrick's Roman Catholic Church,,137 McCaul Street,Roman Catholic,43.654759,-79.391357
288,The Holy Family Coptic Catholic Church,,62 Lunness Road,Coptic Orthodox,43.606309,-79.546237
289,St. Paul the Apostle Church,,3224 Dundas Street West,Roman Catholic,43.665732,-79.477639
290,First Unitarian Congregation of Toronto,,175 St. Clair Avenue West,Canadian Unitarian Council,43.686116,-79.402371
291,Hillside Methodist Church,,361 Old Finch Avenue East,United Church,43.82469,-79.190032
292,Hilltop Bible Chapel,,243 La Rose Avenue,Non-denominational Christian,43.683228,-79.530648
293,The Pride of Israel Synagogue,,59 Lissom Crescent,Judaism - Conservative,43.785628,-79.445512
294,Prophetic Church of God,,2810 Weston Road,Church of God,43.719719,-79.537772
295,Willowdale Baptist Church,,15 Olive Avenue,Baptist,43.77842,-79.414209
