ID,NAME,SCL_LVL,SCL_TP,BRD_NAME,SCL_TP_DSC,ADD_FULL,POSTAL_CD,MUN,LATITUDE,LONGITUDE
19,R J LANG ELEMENTARY and MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,227 Drewry Ave,M2M 1E3,North York,43.78349398,-79.42651373
20,WILLOW PARK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Windover Dr,M1G 1P1,Scarborough,43.76120671,-79.20958173
21,ROCKCLIFFE MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,400 Rockcliffe Blvd,M6N 4R8,Etobicoke,43.67402476,-79.4884385
22,CORNELL JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,61 Holmfirth Ter,M1G 1G8,Scarborough,43.75939257,-79.21803822
23,SAMUEL HEARNE MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,21 Newport Ave,M1L 4N7,Scarborough,43.69524703,-79.2836784
24,HARWOOD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Leigh St,M6N 3X3,Etobicoke,43.6761945,-79.47841575
25,SHIRLEY STREET JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,38 Shirley St,M6K 1S9,Toronto and East York,43.64853281,-79.43672542
26,CHURCH STREET JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,83 Alexander St,M4Y 1B7,Toronto and East York,43.66360843,-79.37917817
27,CITY VIEW ALTERNATIVE SENIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,38 Shirley St,M6K 1S9,Toronto and East York,43.64853281,-79.43672542
28,GOLF ROAD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,730 Scarborough Golf Club Rd,M1G 1H7,Scarborough,43.76366692,-79.21697343
29,DENNIS AVENUE COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,17 Dennis Ave,M6N 2T7,Etobicoke,43.68442812,-79.48728959
30,GARDEN AVENUE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,225 Garden Ave,M6R 1H9,Toronto and East York,43.64320868,-79.44912695
31,MCKEE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Church Ave,M2N 6X6,North York,43.77411646,-79.41105951
32,FERN AVENUE JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,128 Fern Ave,M6R 1K3,Toronto and East York,43.64518889,-79.4461161
33,KIMBERLEY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Swanwick Ave,M4E 1Z5,Toronto and East York,43.68262856,-79.29913109
34,CHURCHILL HEIGHTS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,749 Brimorton Dr,M1G 2S4,Scarborough,43.77299772,-79.22439584
35,HUMBERCREST PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,14 St Mark's Rd,M6S 2H7,Etobicoke,43.66046123,-79.49105864
36,BURROWS HALL JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,151 Burrows Hall Blvd,M1B 1M5,Scarborough,43.79269796,-79.22881801
37,KING GEORGE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Rexford Rd,M6S 2M2,Etobicoke,43.66317127,-79.48689002
38,JOHN A LESLIE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,459 Midland Ave,M1N 4A7,Scarborough,43.71413049,-79.24885528
39,EARL GREY SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Strathcona Ave,M4J 1G8,Toronto and East York,43.67681388,-79.33993251
40,BELLMERE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,470 Brimorton Dr,M1H 2E6,Scarborough,43.77197789,-79.23515007
41,HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,80 Slan Ave,M1G 3B5,Scarborough,43.77516449,-79.21507191
42,Ben Heppner Vocal Music Academy,Elementary,EP,Toronto District School Board,English Public,80 Slan Ave,M1G3B5,Scarborough,43.775044,-79.215034
43,Wilkinson Junior Public School,Elementary,EP,Toronto District School Board,English Public,53 Donlands Ave,M4J 3N7,Toronto and East York,43.68205022,-79.33748646
44,ANNETTE STREET JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,265 Annette St,M6P 1R3,Etobicoke,43.66143177,-79.47283454
45,ANSON PARK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 Macduff Cres,M1M 1X5,Scarborough,43.72621818,-79.2412908
46,WOBURN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,40 Dormington Dr,M1G 3N2,Scarborough,43.77950279,-79.22700167
47,PINEWAY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,110 Pineway Blvd,M2H 1A8,North York,43.7957696,-79.37472553
48,F H MILLER JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,300 Caledonia Rd,M6E 4T5,Etobicoke,43.68401436,-79.45890136
49,NORWAY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,390 Kingston Rd,M4L 1T9,Toronto and East York,43.67628763,-79.30667191
50,Alexander Muir/Gladstone Ave Junior and Senior Public School,Elementary,EP,Toronto District School Board,English Public,108 Gladstone Ave,M6J 3L2,Toronto and East York,43.64602983,-79.4288505
51,OGDEN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,33 Phoebe St,M5T 1A8,Toronto and East York,43.6500222,-79.39513009
52,ADAM BECK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,400 Scarborough Rd,M4E 3M8,Toronto and East York,43.6831604,-79.28849109
53,EGLINTON JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,223 Eglinton Ave E,M4P 1L1,Toronto and East York,43.70791234,-79.39085007
54,EARL BEATTY JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,55 Woodington Ave,M4C 3J6,Toronto and East York,43.68602661,-79.32156885
55,DEWSON STREET JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,65 Concord Ave,M6H 2N9,Toronto and East York,43.65655765,-79.42458793
56,CUMMER VALLEY MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Maxome Ave,M2M 3K1,North York,43.78877323,-79.4009536
57,Winchester Junior and Senior Public School,Elementary,EP,Toronto District School Board,English Public,15 Prospect St,M4X 1C7,Toronto and East York,43.66655668,-79.37111041
58,DAVID LEWIS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,130 Fundy Bay Blvd,M1W 3G1,Scarborough,43.80920532,-79.31788929
59,ROSE AVENUE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,675 Ontario St,M4X 1N4,Toronto and East York,43.67017366,-79.37250872
60,CRESCENT TOWN ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,4 Massey Sq,M4C 5M9,Toronto and East York,43.69684534,-79.29246972
61,FISHERVILLE SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,425 Patricia Ave,M2R 2N1,North York,43.78457409,-79.44100951
62,BLANTYRE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,290 Blantyre Ave,M1N 2S4,Scarborough,43.68510867,-79.28386786
63,GEORGE SYME COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,69 Pritchard Ave,M6N 1T6,Etobicoke,43.66925138,-79.49112677
64,CRESTHAVEN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,46 Cresthaven Dr,M2H 1M1,North York,43.79757335,-79.36436071
65,WARREN PARK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,135 Varsity Rd,M6S 4P4,Etobicoke,43.66285134,-79.49944079
66,EARL HAIG PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,15 Earl Haig Ave,M4C 1E2,Toronto and East York,43.68134004,-79.32125369
67,RUNNYMEDE JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,357 Runnymede Rd,M6S 2Y7,Etobicoke,43.65593788,-79.47748498
68,ORDE STREET  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,18 Orde St,M5T 1N7,Toronto and East York,43.65863607,-79.39226332
69,PARKDALE JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,78 Seaforth Ave,M6K 3L2,Toronto and East York,43.64319587,-79.43680183
70,KENSINGTON COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,401 College St,M5T 1S9,Toronto and East York,43.6564064,-79.40573477
71,BROCK  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,93 Margueretta St,M6H 3S4,Toronto and East York,43.65305827,-79.43784738
72,Agincourt Junior Public School,Elementary,EP,Toronto District School Board,English Public,29 Lockie Ave,M1S 1N3,Scarborough,43.7884142,-79.28117477
73,BEACHES ALTERNATIVE JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Swanwick Ave,M4E 1Z5,Toronto and East York,43.68262856,-79.29913109
74,CEDAR DRIVE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,21 Gatesview Ave,M1J 3G4,Scarborough,43.74586142,-79.21505413
75,FINCH PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,277 Finch Ave E,M2N 4S3,North York,43.78384169,-79.39497745
76,BALMY BEACH COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,14 Pine Ave,M4E 1L6,Toronto and East York,43.67643591,-79.28982694
77,RYERSON COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,96 Denison Ave,M5T 1E4,Toronto and East York,43.65122913,-79.4026399
78,LORD ROBERTS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,165 Lord Roberts Dr,M1K 3W5,Scarborough,43.74143502,-79.2636629
79,LORD LANSDOWNE JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,33 Robert St,M5S 2K2,Toronto and East York,43.65896163,-79.40191309
80,QUEEN VICTORIA  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Close Ave,M6K 2V3,Toronto and East York,43.63625894,-79.43473266
81,BOWMORE ROAD JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,80 Bowmore Rd,M4L 3J2,Toronto and East York,43.67606366,-79.31449172
82,ELIA MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,215 Sentinel Rd,M3J 1T7,North York,43.75380792,-79.49846159
83,NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Collingsbrook Blvd,M1W 1L7,Scarborough,43.78892496,-79.31859031
84,SECORD ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,101 Barrington Ave,M4C 4Y9,Toronto and East York,43.69238749,-79.30183446
85,RODEN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,151 Hiawatha Rd,M4L 2Y1,Toronto and East York,43.67388186,-79.3230797
86,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Dempster St,M1T 2T6,Scarborough,43.77941614,-79.29232137
87,CHINE DRIVE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,51 Chine Dr,M1M 2K8,Scarborough,43.70998259,-79.24179689
88,HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,16 Haileybury Dr,M1K 4X5,Scarborough,43.74571225,-79.26012199
89,BUCHANAN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,4 Bucannan Rd,M1R 3V3,Scarborough,43.75153421,-79.29989528
90,WESTWAY JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Poynter Dr,M9R 1K8,Etobicoke,43.6908307,-79.5489966
91,VALLEYFIELD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Saskatoon Dr,M9P 2E8,Etobicoke,43.69422434,-79.53822321
92,CLIFFSIDE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,27 East Haven Dr,M1N 1M1,Scarborough,43.70488211,-79.25053604
93,R H MCGREGOR ELEMENTARY SCHOOL,Elementary,EP,Toronto District School Board,English Public,555 Mortimer Ave,M4J 2G9,Toronto and East York,43.68999526,-79.32713574
94,HIGHFIELD JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,85 Mount Olive Dr,M9V 2C9,Etobicoke,43.74558426,-79.58920987
95,WILLIAMSON ROAD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,24 Williamson Rd,M4E 1K5,Toronto and East York,43.67451965,-79.29747301
96,H J ALEXANDER COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 King St,M9N 1K9,Etobicoke,43.70250241,-79.52054755
97,NORMAN COOK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,725 Danforth Rd,M1K 1G4,Scarborough,43.71904773,-79.25779832
98,VALLEY PARK MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,130 Overlea Blvd,M3C 1B2,Etobicoke,43.71044919,-79.33587375
99,COSBURN MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,520 Cosburn Ave,M4J 2P1,Toronto and East York,43.69376011,-79.33093166
100,KENNEDY PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,20 Elmfield Cres,M1V 2Y6,Scarborough,43.81884453,-79.30818374
101,CORDELLA JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,175 Cordella Ave,M6N 2K1,Etobicoke,43.67907009,-79.48758544
102,MAURICE CODY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,364 Belsize Dr,M4S 1N2,Toronto and East York,43.70482825,-79.37745143
103,CHARLES GORDON SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Marcos Blvd,M1K 5A7,Scarborough,43.74646451,-79.2609619
104,RANCHDALE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,60 Ranchdale Cres,M3A 2M3,North York,43.7524666,-79.32329466
105,PLEASANT PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,288 Pleasant Ave,M2R 2R1,North York,43.78993827,-79.43468418
106,GLEDHILL JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,2 Gledhill Ave,M4C 5K6,Toronto and East York,43.68765348,-79.30951421
107,PAPE AVENUE  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,220 Langley Ave,M4K 1B9,Toronto and East York,43.67036047,-79.34189684
108,SMITHFIELD MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,175 Mount Olive Dr,M9V 2E3,Etobicoke,43.75001972,-79.59575518
109,OAKDALE PARK MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,315 Grandravine Dr,M3N 1J5,North York,43.74747367,-79.51199534
110,YORKWOODS PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Yorkwoods Gt,M3N 1K1,North York,43.75065984,-79.51388475
111,MARKET LANE JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,246 The Esplanade,M5A 4J6,Toronto and East York,43.64985896,-79.36474462
112,HIGH PARK ALTERNATIVE JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,265 Annette St,M6P 1R3,Etobicoke,43.66143177,-79.47283454
113,GALLOWAY ROAD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,192 Galloway Rd,M1E 1X2,Scarborough,43.76499342,-79.19683736
114,CHARTLAND JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,109 Chartland Blvd S,M1S 2R7,Scarborough,43.79962686,-79.2779255
115,TERRY FOX PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,185 Wintermute Blvd,M1W 3M9,Scarborough,43.81590797,-79.31868953
116,FRANKLAND COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,816 Logan Ave,M4K 3E1,Toronto and East York,43.67713734,-79.34993745
117,HOWARD JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,30 Marmaduke St,M6R 1T2,Toronto and East York,43.6503073,-79.45199912
118,EDGEWOOD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,230 Birkdale Rd,M1P 3S4,Scarborough,43.76630546,-79.26581203
119,TOPCLIFF PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,65 Topcliff Ave,M3N 1L6,North York,43.75569326,-79.51066144
120,KEELESDALE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,200 Bicknell Ave,M6M 4G9,Etobicoke,43.68696568,-79.47694958
121,PAULINE JOHNSON JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,35 Dunmurray Blvd,M1T 2K2,Scarborough,43.78513846,-79.30357451
122,PALMERSTON AVENUE  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,734 Palmerston Ave,M6G 2R4,Toronto and East York,43.66815349,-79.4152082
123,OSSINGTON OLD ORCHARD  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,380 Ossington Ave,M6J 3A5,Toronto and East York,43.65271625,-79.42260301
124,O'CONNOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1665 O'Connor Dr,M4A 1W5,North York,43.71651592,-79.30415535
125,GENERAL BROCK PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,140 Chestnut Cres,M1L 1Y5,Scarborough,43.71840849,-79.27486723
126,GREENHOLME JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,10 Jamestown Cres,M9V 3M5,Etobicoke,43.73508012,-79.58291142
127,GIVINS SHAW JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,49 Givins St,M6J 2X5,Toronto and East York,43.64641624,-79.41758754
128,SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,131 Huntsmill Blvd,M1W 2Y2,Scarborough,43.80665932,-79.32744519
129,MARYVALE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1325 Pharmacy Ave,M1R 2J1,Scarborough,43.75467972,-79.30791479
130,PERTH AVENUE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,14 Ruskin Ave,M6P 3P8,Toronto and East York,43.66283994,-79.45242295
131,DONWOOD PARK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,61 Dorcot Ave,M1P 3K5,Scarborough,43.75698691,-79.26236832
132,KING EDWARD JUNIOR and SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,112 Lippincott St,M5S 2P1,Toronto and East York,43.6582527,-79.40741217
133,WILLIAM TREDWAY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,112 Sedgemount Dr,M1H 1X9,Scarborough,43.76493366,-79.23511246
134,NORTH PREPARATORY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1100 Spadina Rd,M5N 2M6,North York,43.70549092,-79.42038828
135,KEELE STREET  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,99 Mountview Ave,M6P 2L5,Etobicoke,43.65751606,-79.46159984
136,PAULINE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,100 Pauline Ave,M6H 3M8,Toronto and East York,43.66249769,-79.43914692
137,ELLESMERE STATTON PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,739 Ellesmere Rd,M1P 2W1,Scarborough,43.76363221,-79.28757521
138,MANHATTAN PARK JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,90 Manhattan Dr,M1R 3V8,Scarborough,43.753354,-79.29530112
139,WESTWOOD MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,994 Carlaw Ave,M4K 3M6,Toronto and East York,43.6866933,-79.35069605
140,STILECROFT PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,50 Stilecroft Dr,M3J 1A7,North York,43.75106442,-79.49320837
141,DIXON GROVE JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,315 The Westway,M9R 1H1,Etobicoke,43.68471775,-79.55595793
142,BROOKHAVEN PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Brookhaven Dr,M6M 4N8,Etobicoke,43.70251489,-79.49569768
143,WILLIAM J MCCORDIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Balfour Ave,M4C 1T4,Toronto and East York,43.69064043,-79.29898655
144,GEORGE B LITTLE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,125 Orton Park Rd,M1G 3G9,Scarborough,43.77120802,-79.20811364
145,MOUNTVIEW ALTERNATIVE JUNIOR SCHOOL,Elementary,EP,Toronto District School Board,English Public,99 Mountview Ave,M6P 2L5,Etobicoke,43.65751606,-79.46159984
146,GLEN AMES SENIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,18 Williamson Rd,M4E 1K5,Toronto and East York,43.67396842,-79.29833544
147,WEXFORD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,1050 Pharmacy Ave,M1R 2H1,Scarborough,43.74019895,-79.30373053
148,BERNER TRAIL JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,120 Berner Trl,M1B 1B3,Scarborough,43.80157071,-79.22135576
149,WALTER PERRY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Falmouth Ave,M1K 4M7,Scarborough,43.73346473,-79.25124888
150,C R MARCHANT MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,1 Ralph St,M9N 3A8,Etobicoke,43.70173006,-79.51293668
151,WITHROW AVENUE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,25 Bain Ave,M4K 1E5,Toronto and East York,43.67046905,-79.35213289
152,CASSANDRA PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,45 Cassandra Blvd,M3A 1S5,North York,43.74843361,-79.3289047
153,MONTROSE JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,301 Montrose Ave,M6G 3G9,Toronto and East York,43.65869017,-79.41884696
154,HIGHCASTLE PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,370 Military Trl,M1E 4E6,Scarborough,43.78677021,-79.21249882
155,JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,130 Glengrove Ave W,M4R 1P2,North York,43.71833457,-79.40886755
156,NORTHLEA ELEMENTARY and MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,305 Rumsey Rd,M4G 1R4,North York,43.71463222,-79.37017668
157,CEDARBROOK  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,56 Nelson St,M1J 2V6,Scarborough,43.747302,-79.23019594
158,Zion Heights Middle School,Elementary,EP,Toronto District School Board,English Public,5900 Leslie St,M2H 1J9,North York,43.79792351,-79.37110048
159,NORTH KIPLING JUNIOR MIDDLE SCHOOL,Elementary,EP,Toronto District School Board,English Public,2 Rowntree Rd,M9V 5C7,Etobicoke,43.75177069,-79.58489585
160,BLAKE STREET JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,21 Boultbee Ave,M4J 1A7,Toronto and East York,43.67181495,-79.33847947
161,SPRUCECOURT  PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,70 Spruce St,M5A 2J1,Toronto and East York,43.66449459,-79.36383315
162,BALA AVENUE COMMUNITY SCHOOL,Elementary,EP,Toronto District School Board,English Public,6 Bala Ave,M6M 2E1,Etobicoke,43.6894708,-79.49901555
163,WHITNEY JUNIOR PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,119 Rosedale Heights Dr,M4T 1C7,Toronto and East York,43.68716893,-79.3784005
164,Taylor Creek PS,Elementary,EP,Toronto District School Board,English Public,644 Warden Ave,M1L 3Z3,Scarborough,43.70004636,-79.27729094
165,DRIFTWOOD PUBLIC SCHOOL,Elementary,EP,Toronto District School Board,English Public,265 Driftwood Ave,M3N 2N6,North York,43.76255571,-79.51513769
